Time, temperature C, humidity %
60013, 24.1, 36.6
60115, 24.1, 37.0
60218, 24.1, 38.2
60320, 24.1, 38.4
60422, 24.1, 39.4
60524, 24.1, 38.9
60627, 24.1, 39.1
60729, 24.1, 39.1
60831, 24.1, 39.2
60933, 24.2, 39.7
61036, 24.1, 39.4
61138, 24.2, 41.9
61240, 24.2, 41.4
61342, 24.2, 41.1
61445, 24.2, 40.8
61547, 24.2, 40.8
61649, 24.2, 40.7
61751, 24.2, 40.6
61854, 24.2, 40.3
61956, 24.2, 39.9
62058, 24.2, 40.4
62160, 24.3, 40.5
62263, 24.3, 40.2
62365, 24.3, 40.0
62467, 24.3, 40.1
62569, 24.3, 40.1
62672, 24.3, 40.0
62774, 24.3, 40.2
62876, 24.3, 40.3
62978, 24.3, 40.4
63081, 24.3, 40.6
63183, 24.3, 40.5
63285, 24.3, 40.6
63388, 24.3, 40.5
63490, 24.3, 40.4
63592, 24.3, 40.3
63694, 24.3, 40.5
63796, 24.4, 40.7
63899, 24.4, 41.0
64001, 24.4, 40.8
64103, 24.4, 40.7
64205, 24.4, 40.9
64308, 24.4, 40.7
64410, 24.4, 40.7
64512, 24.4, 40.6
64614, 24.4, 40.5
64717, 24.4, 40.5
64819, 24.4, 40.6
64921, 24.5, 40.7
65023, 24.5, 40.7
65126, 24.6, 40.7
65228, 24.6, 40.8
65330, 24.6, 40.8
65432, 24.6, 40.9
65535, 24.5, 40.8
65637, 24.6, 40.8
65739, 24.5, 40.7
65841, 24.5, 40.7
65944, 24.5, 41.0
66046, 24.6, 40.9
66148, 24.5, 40.9
66250, 24.6, 41.0
66353, 24.6, 41.0
66455, 24.6, 41.0
66557, 24.6, 41.2
66659, 24.6, 41.2
66762, 24.6, 41.4
66864, 24.6, 41.6
66966, 24.6, 41.3
67068, 24.6, 41.3
67171, 24.6, 41.4
67273, 24.6, 41.3
67375, 24.6, 41.3
67477, 24.6, 41.3
67580, 24.6, 41.2
67682, 24.6, 41.1
67784, 24.6, 41.0
67886, 24.5, 40.9
67989, 24.6, 41.1
68091, 24.6, 40.8
68193, 24.6, 41.0
68295, 24.5, 41.0
68398, 24.5, 40.9
68500, 24.5, 40.8
68602, 24.5, 40.7
68704, 24.5, 40.5
68807, 24.5, 40.5
68909, 24.5, 40.6
69011, 24.5, 40.5
69113, 24.5, 40.5
69216, 24.5, 40.3
69318, 24.4, 40.3
69420, 24.4, 40.2
69522, 24.4, 40.0
69625, 24.3, 39.9
69727, 24.3, 39.9
69829, 24.3, 39.7
69931, 24.3, 39.7
70034, 24.3, 39.8
70136, 24.3, 39.7
70238, 24.2, 39.7
70340, 24.3, 39.6
70443, 24.2, 39.4
70545, 24.2, 39.4
70647, 24.2, 39.4
70749, 24.2, 39.2
70852, 24.2, 39.1
70954, 24.2, 39.0
71056, 24.2, 39.0
71158, 24.2, 39.0
71261, 24.2, 38.9
71363, 24.2, 38.9
71465, 24.1, 38.7
71567, 24.1, 38.7
71670, 24.1, 38.6
71772, 24.1, 38.6
71874, 24.1, 38.5
71976, 24.1, 38.5
72079, 24.1, 38.4
72181, 24.0, 38.4
72283, 24.0, 38.2
72385, 24.0, 38.2
72488, 24.0, 38.0
72590, 24.0, 38.0
72692, 24.0, 38.0
72794, 24.0, 37.9
72897, 24.0, 37.8
